id,question,reference_answer,actual_label,answer_1,answer_2,answer_3,answer_4,answer_5,semantic_entropy,normalized_entropy,semantic_consistency,semantic_hallucination_score,number_of_clusters,largest_cluster_ratio,unique_answer_count
249,Which planet when discovered was originally called the Georgian planet?,URANUS,0,Uranus,Uranus,Uranus,Uranus,Uranus,0.0,0.0,1.0,0.0,1,1.0,1
250,Which North Sea port lies at the mouth of the Riyer Esk?,WHITBY,1,Hull,Hull,Hull,Lerwick,Hull,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
251,The American Football Super Bowl final in 2012 is branded by what Roman numerals?,XLVI,1,XLII,XLIV,XLII,XLII,XLII,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
252,Goat Fell is the name of hole number 8 on the Ailsa Course at which Open Championship Golf venue?,TURNBERRY,1,St Andrews,St Andrews,St Andrews Golf Course,St Andrews,St Andrews,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
253,Sabena Airlines was the national airline of which European country 1923 – 2001?,Belguim,1,Belgium,Belgium,Belgium,Belgium,Belgium,0.0,0.0,1.0,0.0,1,1.0,1
254,Cardinal Richelieu served as chief minister to which French king?,LOUIS XIII,0,Henry IV,Henry IV,Charles IX,Henry IV Henry III Henry IV Charles IX Charles IX Henry III Henry IV Charles X Henry IV,Henry III,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,4
255,The National Motor Museum is in which English county?,Hampshire,1,Devon,Devon,Devon,Devon,Devon,0.0,0.0,1.0,0.0,1,1.0,1
256,Which aircraft company manufactured the Spitfire?,Supermarine,1,Rolls-Royce,Rolls-Royce,Rolls-Royce,Rolls-Royce,Rolls-Royce,0.0,0.0,1.0,0.0,1,1.0,1
257,Yellowstone National Park is located in which US state?,Wyoming,0,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,0.0,0.0,1.0,0.0,1,1.0,1
258,"In November, which film (full title) broke UK box office records; Biggest 3-day opening, biggest single day in ticket sales and biggest Friday, Saturday & Sunday openings?",Harry Potter and the Deathly Hallows: Part 1,1,Extraction,Paddington 2,Paddington 2,Extraction (The回报) 答案：Extraction 答案：Extraction,Paddington 2,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
259,Tavel and Hermitage wines are produced in which French wine growing area?,RHONE VALLEY,1,Provence,Bordeaux,Provence,Rhône Valley,Bordeaux,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
260,What famous building did John Nash rebuild in 1825?,Buckingham Palace,1,The Royal Opera House,Grosvenor House,Grosvenor House,St. Mary-le-Bow Church,Grosvenor House,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
261,Sastrugi are parallel wave-like ridges caused by winds on the surface of what?,Snow,0,Snow,Snow,Snow,冰雪覆盖的地面,Ice,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
262,"""What Arabic word means """"struggle"""" but is often interpreted as """"Holy War""""?""",Jihad,0,jihad,jihad,Jihad,Jihad,Jihad,0.0,0.0,1.0,0.0,1,1.0,1
263,"In the human body, a set of well-developed abdominal muscles is known as a ‘What’…pack’?",Six,1,Abdominal pack,Abdominal pack,Abdominal pack,Abdominal pack.,Abdominal pack,0.0,0.0,1.0,0.0,1,1.0,1
264,Which city hosted the 2010 Paralympic Games?,Vancouver,1,Beijing,Beijing,London,Beijing,Beijing,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
265,"Which river rises in the Massif Centrale, flows north and east to enter the Bay of Biscay at St. Nazaire?",LOIRE,1,Dordogne,Dordogne,Loire,Loire,Dordogne,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,2
266,Which clothing fabric is named after a town in southern France?,Denim,1,Melton wool,Melton,Beauvaisine,Terry towelling,Cashmere,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
267,Thermodynamics is the study of what?,Heat,1,"Thermodynamics is the study of heat and temperature and their relation to energy, work, heat, and energy transfer.","Thermodynamics is the study of energy transformations and their relation to temperature, heat, work, energy, and energy density.",Thermodynamics is the study of energy and its transformations.,Thermodynamics is the study of heat and energy.,Thermodynamics is the study of heat and energy.,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
268,What is the scientific name for the tube connecting the mouth with the stomach?,Oesophagus,1,Esophagus,Esophagus,Esophagus,Esophagus,Esophagus,0.0,0.0,1.0,0.0,1,1.0,1
269,What name is given to the external set of floral leaves or sepals in a flower?,Calyx,0,Calyx,tepals,Calyx,Perianth,Perianth,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
270,Which Irish author was Sir Henry Irving's business manager?,Bram Stoker,1,W. B. Yeats,W. B. Yeats,Oscar Wilde,George Moore,William Charles MacNaghten,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
271,"At a French McDonald's, what would they call a quarter pounder with cheese?",Royal Cheese,1,Le Moins Un Quatuor Avec Fromage Toqué,Petit quarter pounder avec fromage,Quarte de pound avec fromage McDonald's,Quatorze petons avec fromage,Quarte扒扒扒扒扒扒扒扒扒扒扒扒扒扒扒扒扒扒扒扒扒扒扒扒扒扒扒扒,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
272,The metric prefix femto is shown as ten to the power of minus what?,15,0,-15,-15,-15,-15,-15,0.0,0.0,1.0,0.0,1,1.0,1
273,Petrography is the study of what?,Rocks,1,Petrography is the study of rocks.,Petrography is the study of rocks.,Petrography is the study of rocks.,Petrography is the study of rocks.,Petrography is the study of rocks.,0.0,0.0,1.0,0.0,1,1.0,1
274,Roger Moore first played James Bond in which film?,Live and Let Die,0,Live and Let Die,Live and Let Die,Live and Let Die,Live and Let Die,Live and Let Die,0.0,0.0,1.0,0.0,1,1.0,1
275,A two-wheeled self-powered and self-balancing vehilce unveiled in 2001 is called what?,Segway,0,Segway,Segway,Segway,Segway,Segway,0.0,0.0,1.0,0.0,1,1.0,1
276,"""""""Hale knew before he had been in Brighton three hours that they meant to murder him..."""" are the opening words to which Graham Greene novel?""",Brighton Rock,1,The Thin Red Line,The Thin Red Line,The Thin Red Line,The Heart of the Matter,The Thin Red Line,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
277,Petite Borgeoisie is an Anglicized French term referring to what traditional notion of social demographics class?,Lower Middle Class,0,Lower class,Lower middle class,Lower middle class,Bourgeoisie,Lower middle class,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
278,"The city of London in Ontario, Canada stands on which river?",The Thames,1,St. Clair River,St. Clair River,Thames River,Thames,Thames River,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,3
279,Munich is on which river?,Isar,0,Isar,Isar,Isar,Isar,Isar,0.0,0.0,1.0,0.0,1,1.0,1
280,"According to the Gospels of Matthew, Mark and Luke, who was compelled by the Romans to carry the cross of Jesus as he was taken to his crucifixion?",SIMON OF CYRENE,0,Roman soldiers,Simon of Cyrene,Simon of Cyrene,Roman soldier,Simon of Cyrene,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,3
281,Which (liquid) foodstuff has the chemical formula CH3COOH?,Vinegar,1,Acetic acid,Acetic acid,vinegar,Acetic acid,Vinegar,0.0,0.0,1.0,0.0,1,1.0,2
282,Who wrote the novel Evening Class?,Maeve Binchy,1,William Goldman,John Irving,Alexander McCall Smith,Peter Carey,Kazuo Ishiguro,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
283,"""What is the first line of the speech by the 3 witches in Shakespeare's Macbeth that ends """"toil and trouble, fire burn and cauldron bubble""""?""",Double double,1,Meet us here on the eve of the third month.,"Curse thy life, thou body cursed with fourteen pounds of earth.","Curse thy n'erborn back! Toil and trouble, fire burn and cauldron bubble!","Beware Macbeth, that's the first line.",When rough beast,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
284,Who was voted Time Magazine person of the century in 1999?,ALBERT EINSTEIN,1,Nelson Mandela,Nelson Mandela,Albert Einstein,Albert Einstein,Muhammad Ali,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
285,Which US President is depicted on a $50 banknote?,Ulysses S Grant,1,William McKinley,Benjamin Franklin,Andrew Jackson,Benjamin Franklin,Andrew Jackson,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
286,What is Decompression Sickness commonly called?,The Bends,0,The bends,The bends,The bends,Thebaine,Cauda Equina Syndrome,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
287,What sort of creature is a Malamute?,DOG,0,Dog,Dog,Dog,Dog,Dog,0.0,0.0,1.0,0.0,1,1.0,1
288,Which city links Haydn's symphony number 104 and Vaughan Williams' symphony number 2?,London,1,Prague,Prague,Vienna,Vienna,Prague,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,2
289,What is the name of the 'theme park' near Ripon in Yorkshire?,LIGHTWATER VALLEY,1,Ripley Thrill Park,Donington Park,Yorkshire Park,Thrillseekers Adventure Park,Whitby Abbey Theme Park,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
290,"""Who directed the 2005 film """"Munich""""?""",Steven Spielberg,1,Ron Shelton,Ron Shelton,Denis Villeneuve,Steven Spielberg,Steven Spielberg,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
291,"In alphabetical order, what is the first US state?",Alabama,0,Alabama,Alaska,Alabama,Delaware,Alabama,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
292,In which year did the world’s first ‘expo’ the Great Exhibition in London take place?,1851,0,1851,1851,1851,1851,1851,0.0,0.0,1.0,0.0,1,1.0,1
293,Morbilli is the technical term for which childhood illness?,Measles,0,Measles,Measles,Morbilli is the technical term for measles.,Morbilli is the technical term for measles.,Measles,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,2
294,What endangered bird is the largest bird in North America?,California Condor,1,California Condor,California condor,Whooping crane,California condor,California condor,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
295,"According to Edward Lear, who went to sea in a sieve?",Jumblies,1,Edward Lear,Edward Lear,Edward Lear,Edward Lear,Edward Lear,0.0,0.0,1.0,0.0,1,1.0,1
296,"""Which composer, born in Pesaro in Italy in 1792, based his opera, """"The Barber of Seville"""" on the trilogy by French playwright, Pierre de Beaumarchais?""",ROSSINI,0,Rossini,Rossini,Rossini,Rossini,Rossini,0.0,0.0,1.0,0.0,1,1.0,1
297,What is the correct representation of the burger chain brand?,McDonald's,1,In-N-Out,In-n-out burger,Burger King,Wendy's,BURGER KING,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
298,The United Society of Believers in Christ's Second Appearing is also known as what?,SHAKERS,0,Shakers,Shakers,Shakers,Shakers,Shakers,0.0,0.0,1.0,0.0,1,1.0,1
299,In the Bible who put Daniel in the lions den?,King Darius,1,Darius,Darius,Darius,Darius,Darius,0.0,0.0,1.0,0.0,1,1.0,1
300,Which daughter of Agamemnon was sacrificed for a fair wind?,Iphigenia,0,Iphigenia,Iphigenia,Iphigenia,Iphigenia,Iphigenia,0.0,0.0,1.0,0.0,1,1.0,1
301,Who founded the Amazon website?,Jeff Bezos,0,Jeff Bezos,Jeff Bezos,Jeff Bezos,Jeff Bezos,Jeff Bezos,0.0,0.0,1.0,0.0,1,1.0,1
302,What is the trademarked name for the distinctive logo used Nike?,Swoosh,0,Swoosh,Swoosh,Swoosh,Swoosh,Swoosh,0.0,0.0,1.0,0.0,1,1.0,1
303,Which British singer released a 2003 album entitled ‘Life For Rent’?,Dido,1,Kylie Minogue,Beth Orton,Paolo Nutini,Elbow,Emeli Sandé,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
304,How many masts does the vessel known as a Ketch have ?,TWO,1,2,2,2,2,2,0.0,0.0,1.0,0.0,1,1.0,1
305,"In the year 1636 during the Dutch Golden Age, what unlikely item became the fourth leading export after gin, herring and cheese causing a journalist to write a book Extraordinary Popular Delusions and the Madness of Crowds?",Tulip bulb,1,tulip bulbs,tulip bulbs,tulip,mirrors,tulip,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
306,Who suggested that Gordon Brown had transformed from Stalin to Mr Bean?,Vince Cable,1,Simon Heffer,Simon Cowell,Robert Peston,Anonymous,Chris Morris,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
307,Robert Louis Stevenson's 1886 classic horror novel about split personality is called what?,The Strange Case of Dr Jekyll and Mr Hyde,1,Strange Case of Dr. Jekyll and Mr. Hyde,Strange Case of Dr. Jekyll and Mr. Hyde,Strange Case of Dr. Jekyll and Mr. Hyde,Strange Case of Dr. Jekyll and Mr. Hyde,Strange Case of Dr. Jekyll and Mr. Hyde,0.0,0.0,1.0,0.0,1,1.0,1
308,"On this date in 1927, Charles Lindbergh became the first pilot to fly solo across the Atlantic Ocean. Where did he land?",Paris,1,New York,St. Louis,Ireland,St. Nazaire,St. Nazaire,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
309,Which bean is the main flavour of the liqueur Tia Maria?,Coffee bean,1,dark,carambola,caturra,cayenne,cocoa,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
310,"""Who was the other half of the Bouquet household, played by actor Clive Swift, in the UK TV comedy series """"Keeping Up Appearances""""?""",Richard,1,Geraldine Strange,Helen,Elizabeth Rattigan,Vivian Chalfon,Penelope Keith,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
311,"Which US boxer, born February 1977, has the nickname ‘Pretty Boy’?",Floyd Mayweather Jr,0,Tyson,Floyd Mayweather Jr.,Evander Holyfield,Mike Tyson,"Timothy Francis ""Tim"" Bradley Jr.",1.6094379124341005,1.0,0.0,1.0,5,0.2,5
312,How many counters does each player have in a game of backgammon?,15,0,15,15,15,15,15,0.0,0.0,1.0,0.0,1,1.0,1
313,Maureen Cox was the first wife of which famous musical personality?,RINGO STARR,1,Chrissie Hynde,Kate Nash,Tina Turner,Darlene Love,Tina Turner,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
314,How many houses are there in a game of Monopoly?,32,1,28,28,22,28,25,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
315,"""Who appeared in her first film for 15 years, """"Monster In Law"""", in 2005?""",Jane Fonda,1,Diane Keaton,Maggie Gyllenhall,Sandra Bullock,Renée Zellweger,Diane Keaton,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
316,Whose portrait was painted by the fictional artist Basil Hallward?,DORIAN GRAY,1,Rossetti,Rosamund Boles-Wallace,Rossetti,Dorian Gray,Oscar Wilde,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
317,The volcano Hekla is on which island?,Iceland,0,Iceland,Iceland,Iceland,Iceland,Iceland,0.0,0.0,1.0,0.0,1,1.0,1
318,Stink 182 is a tribute band to which band?,Blink 182,1,Rage Against the Machine,Deftones,Ministry,Deftones,Stink 182 is a tribute band to Mötley Crue.,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
319,"""Who made the musical sculptures called """"Pythagoras"""", """"Kepler"""" & """"Galileo"""" that were installed between the tracks of Kendall Station in Cambridge, Massachusetts from 1987 to 2007?""",Paul Matisse,1,Robert W. Midura,Michael S. Smith,Daniel Buren,Daniel Rozin,Robert W. Fischler,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
320,"Which American swing and jazz guitarist's single string technique combined with amplification, while with Benny Goodman's bands between 1939 and 1941, helped bring the guitar out of the rhythm section and into the forefront as a solo instrument?",Charlie Christian,1,Herb Ellis,Herb Ellis,Barney Bigard,Herb Ellis,Chuck Berry,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
321,What name is given to the stellar explosion caused when nuclear fusion within a massive star ceases and it suffers gravitational collapse?,(Super)Nova,1,Supernova,Supernova,supernova,Supernova,Supernova,0.0,0.0,1.0,0.0,1,1.0,1
322,"What was the capital of the Inca Empire from 1438 to 1532 which, at its peak, dominated a territory that included (from north to south) Ecuador, part of Colombia, the northern half of Chile, and the north-west part of Argentina, and (from west to east) from Bolivia to the Amazonian forests and Peru?",Cuzco,1,Cusco,Cusco,Cusco,Cusco,Cusco,0.0,0.0,1.0,0.0,1,1.0,1
323,Phil Collins played drums with which band?,Genesis,0,Genesis,Genesis,Genesis,Genesis,Genesis,0.0,0.0,1.0,0.0,1,1.0,1
324,The 'Battle of Trafalgar' took place in which year?,1805,0,1805,1805,1805,1805,1805,0.0,0.0,1.0,0.0,1,1.0,1
325,What is the text of an opera called?,Libretto,0,libretto,Libretto,libretto,Libretto,Libretto,0.0,0.0,1.0,0.0,1,1.0,1
326,What is the name of the target in a game of curling?,House,1,壶 (Hú) 网 (Gǎng) 石 (Shí) (Stone) 8 Answer: 网石,壶球,壶球赛中的目标是什么？壶,壶球中的目标是用什么名字？答案:壶球中的目标是用目标石 (Honko-teki na targetu wa yū,壶球 (Huqiu) 答案：壺球 (Huqiu) 答案：冰壶 (Hamu,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
327,Broccoli and Cauliflower are members of which vegetable family?,BRASSICA,1,Brassicaceae,Brassicaceae,Brassica,Brassica,Brassicaceae,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,2
328,"""What does """"domo arigato"""" mean?""",Thank you very much,1,Thank you,Thank you,thank you,thank you,Thank you,0.0,0.0,1.0,0.0,1,1.0,1
329,"In relation to spiritual diety Pachamama, in 2011 Bolivia announced an new unusual Law of what?",Mother Earth,1,Pachamama,Pachamama,Pachamama,Pachamama,Ecology,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
330,How many humps would you find on a dromedary camel?,one,0,One,One,One,One,One,0.0,0.0,1.0,0.0,1,1.0,1
331,Which concert pianist became the first President of the Polish Republic in 1919?,Ignaz Jan Paderewski,1,Ignacy Jan Paderewski,Ignacy Jan Paderewski,Wojciech Grzegorz Bartoszewicz,Ignacy Jan Paderewski,Ignacy Jan Paderewski,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
332,"""In which specific TV series is there an Episode entitled """"A Fistful of Data's""""?""",Star Trek. The Next Generation,1,Star Trek: The Next Generation,Babylon 5,Fringe,Star Trek: Deep Space Nine,Star Trek: Deep Space Nine,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
333,What is the largest continent on Earth,Asia,0,Antarctica,Asia,Asia,Asia,Asia,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
334,"Actor and comedian, and half of a famous double-act, Arthur Stanley Jefferson was better known by which name?",Stan Laurel,1,Arthur Lowe,Stan Laurel,Stan Laurel,Laurel,Arthur Lowe,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
335,Which great battle between the Greeks and Persians took place in 490BC?,Battle of Marathon,0,Battle of Marathon,Battle of Marathon,Battle of Marathon,Battle of Marathon,Battle of Marathon,0.0,0.0,1.0,0.0,1,1.0,1
336,"In 1965, who became the first British driver to win the Indianapolis 500?",Jim Clark,1,Graham Hill,Graham Hill,Graham Hill,Denny Hulme,Graham Hill,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
337,What is the Paris Stock Exchange called?,LA BOURSE,1,Euronext Paris,Euronext Paris,Euronext Paris,Euronext Paris,Euronext Paris,0.0,0.0,1.0,0.0,1,1.0,1
338,Children's author Mrs Darrell Waters was better known under which name?,ENID BLYTON,1,Darrellle Waters,Darrell Walsh Waters,Darrellle Waters,Darrell,Darrell Walsh Waters,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
339,'.uk' is the network identifier for the United Kingdom. Which country uses the identifier '.jp'?,JAPAN,0,Japan,Japan,Japan,Japan,Japan,0.0,0.0,1.0,0.0,1,1.0,1
340,"What salty lake is located at 1,388 ft below sea level?",Dead Sea,0,Dead Sea,Salina de Tópicos,Salina Grande,Manicouagan Lake,Manicouagan-Sabreau,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
341,Which Motown star had a new millennium hit with Not Over Yet,Diana Ross,1,Mary J. Blige,Diana Ross,Michael Jackson,Michael Jackson,The Weather Report,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
342,Who is the mother of Aphrodite in Greek mythology?,DIONE,0,Zeus,Zeus,Zeus,Zeus,Zeus,0.0,0.0,1.0,0.0,1,1.0,1
343,Which revolutionary leader was born Vladimir Ilyich Ulyanov?,Lenin,0,Lenin,Lenin,Lenin,Lenin,Lenin,0.0,0.0,1.0,0.0,1,1.0,1
344,"In medicine, which suffix denotes the surgical removal of something, usually from inside the body?",-ectomy,0,-ectomy,-ectomy,-ectomy,-ectomy,-ectomy,0.0,0.0,1.0,0.0,1,1.0,1
345,The UEFA cup is a soccer tournament for teams from which continent?,Europe,0,Europe,European,Europe,Europe,Europe,0.0,0.0,1.0,0.0,1,1.0,2
346,"In which year did George Bush succeed Ronald Reagan as US President, the US ratified the Berne convention on copyright, Time Inc and Warner Communications merged to form Time-Warner, and the Exxon Valdez spilled oil in Alaska?",1989,1,1990,1990,1990,1990,1990,0.0,0.0,1.0,0.0,1,1.0,1
347,"""What famous book begins: """"Chug, chug, chug. Puff, puff, puff""""?""",The Little Engine that Could,1,The Wind in the Willows,The Wind in the Woods,The Wind in the Willows,The Wind in the Willows,The Wind in the WIlloes,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,3
348,Who was Minister of Education when the 1944 Education Act was passed?,R.A.BUTLER,1,Ernest Bevin,Ernest Bevin,Ernest Brown,Ernest Bevin,Ernest Bevin,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
349,Which pop star played Beth in Neighbours between 1991 and 1993?,Natalie Imbruglia,1,Ashlee Simpson,Jessica Simpson,Kylie Minogue,Kylie Minogue,Kylie Minogue,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
350,In 1984 which Bruce Springsteen song was the first to win a Grammy for him? (He has won 20 in all),DANCING IN THE DARK,1,Born to Run,Born to Run,Born to Run,Born to Run,Born to Run,0.0,0.0,1.0,0.0,1,1.0,1
351,Painter and engraver Sir Edwin Henry Landseer was a favourite artist of which British monarch?,Queen Victoria,0,Queen Victoria,Queen Victoria,Queen Victoria,Queen Victoria,Queen Victoria,0.0,0.0,1.0,0.0,1,1.0,1
352,The Ballad of Bonnie and Clyde was a no.1 hit in 1967 for which singer?,Georgie Fame,1,Roy Orbison,Johnny Cash,Johnny Cash,Gene Clark,Johnny Cash,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
353,Which cheese is known as ‘The King of English Cheeses’?,Stilton,0,Stilton,Stilton,Stilton,Stilton,Stilton,0.0,0.0,1.0,0.0,1,1.0,1
354,The Hindu deity Ganesha has the head of which animal?,ELEPHANT,0,elephant,Elephant,elephant,elephant,elephant,0.0,0.0,1.0,0.0,1,1.0,1
355,Alexandra of Denmark was married to which English king?,EDWARD VII,1,George V,George V,Edward VII,George V,Edward VII,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,2
356,"All happy families resemble one another, but each unhappy family is unhappy in its own way. The opening lines of which great novel?",Anna Karenina,0,The Great Gatsby,Anna Karenina,Anna Karenina,Anna Karenina,The Great Gatsby,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,2
357,Which prototype drink recipe was formulated at Pemberton's Eagle Drug and Chemical House?,COCA COLA,1,Eagle Brand Coca-Cola,Eagle Brand Coca-Cola,Eagle Brand Ginger Ale,Eagle Brand Coca-Cola,Eagle Brand Root Beer,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
358,For what medical condition would a doctor administer an antitussive?,Coughs,1,For a cough.,Cough,For what medical condition would a doctor administer an antitussive? To treat cough.,Cough,Cough,0.0,0.0,1.0,0.0,1,1.0,3
359,Which 15th-century navigator discovered the sea route from Europe to India by the Cape of Good Hope?,Vasco da Gama,0,Bartolomeu Dias,Vasco da Gama,Vasco da Gama,Vasco da Gama,Vasco da Gama,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
360,"Normally called a wolverine in North America, what is the largest carniverous mammal in the weasel family, which, it is said, has a habit of hiding articles which are no use to it?",Glutton,1,Glacier bear,Wolverine,Wolverine,Wolverine,Wolverine,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
361,In the Robin Hood T.V. series starring Richard Green what was the name of the inn that was used,The Blue Boar,1,The Mermaid Inn,The Mermaid Inn,The Millers' Rest,The Daw's Neck,Green Man,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
362,The Pyg and the Miners' tracks and the Watkin Path are routes up which mountain?,Snowdon,0,Snowdon,Snowdon,Snowdon,Snowdon,Snowdon,0.0,0.0,1.0,0.0,1,1.0,1
363,"Who created the characters of Willy Loman, Joe Keller and Eddie Carbone?",Arthur Miller,0,Arthur Miller,Arthur Miller Miller,Arthur Miller,Arthur Miller,Arthur Miller,0.0,0.0,1.0,0.0,1,1.0,2
364,"Also the name of a popular TV character, who was the father of the apostles John the Evangelist and James the Greater?",ZEBEDEE,0,Saint Barnabas,Barnabas,Saint Jude,Simon Peter,Simon,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,5
365,"Which holiday, which had its first official recognition in 1868, was originally called Decoration Day?",Memorial Day,0,Memorial Day,Memorial Day,Memorial Day,Memorial Day,Memorial Day,0.0,0.0,1.0,0.0,1,1.0,1
366,Who is the only British Prime Minister to serve under 3 monarchs?,STANLEY BALDWIN,1,Benjamin Disraeli,Winston Churchill,Margaret Thatcher,Lord Melbourne,Margaret Thatcher,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
367,From 2008 Ferrari provided cars (a modification of the F1 Ferrari F2004 chassis) with a V8 engine for which 'single make' motor racing series?,A1 Grand Prix,1,LMP1,Le Mans Prototype 2 (LM P2) Class,Formula E,Le Mans Prototype 2,Le Mans Prototype 2 (LMP2),1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,5
368,"Bammy (Jamaica), Bannock (Scotland), Blaa (Ireland), Bublik (Poland), and Boule (France) are types of?",Bread,1,Games,Games,Balls,Snacks,Snacks,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
369,What colour does the planet Neptune appear to be from space?,Blue,0,Blue,Blue,Blue,Blue,Blue,0.0,0.0,1.0,0.0,1,1.0,1
370,"Stirling Moss also won the next British Grand prix held at Aintree, in 1957, to give which British team its first Grand Prix victory?",VANWALL,1,Aston Martin,BRM,Team Lotus,Aston Martin,McLaren,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
371,What is the peptide hormone produced in all vertebrates and some others to promote the absorption of glucose from the blood to muscles and fat tissue?,Insulin,0,Glucagon,glucagon,glucagon,glucagon,Glucagon,0.0,0.0,1.0,0.0,1,1.0,1
